stride,number,mis
1,409600,257
1,819200,405
1,1228800,536
1,1638400,626
1,2048000,661
1,2457600,644
1,2867200,660
1,3276800,639
1,3686400,290
1,4096000,580
1,4505600,583
1,4915200,577
1,5324800,569
1,5734400,583
1,6144000,582
1,6553600,590
1,6963200,593
1,7372800,591
1,7782400,587
1,8192000,587
1,8601600,584
1,9011200,585
1,9420800,577
1,9830400,577
1,10240000,571
1,10649600,574
1,11059200,578
1,11468800,580
1,11878400,574
1,12288000,579
1,12697600,575
1,13107200,573
1,13516800,558
1,13926400,560
1,14336000,568
1,14745600,570
1,15155200,562
1,15564800,572
1,15974400,573
1,16384000,577
1,16793600,570
1,17203200,569
1,17612800,571
1,18022400,568
1,18432000,566
1,18841600,573
1,19251200,576
1,19660800,576
1,20070400,568
1,20480000,575
1,20889600,575
1,21299200,573
1,21708800,569
1,22118400,574
1,22528000,578
1,22937600,570
1,23347200,574
1,23756800,573
1,24166400,576
1,24576000,568
1,24985600,576
1,25395200,574
1,25804800,573
1,26214400,571
1,26624000,572
1,27033600,572
1,27443200,566
1,27852800,573
1,28262400,559
1,28672000,566
1,29081600,571
1,29491200,563
1,29900800,566
1,30310400,568
1,30720000,568
1,31129600,568
1,31539200,570
1,31948800,567
1,32358400,569
1,32768000,565
1,33177600,568
1,33587200,570
1,33996800,571
1,34406400,570
1,34816000,573
1,35225600,567
1,35635200,566
1,36044800,570
1,36454400,558
1,36864000,558
1,37273600,561
1,37683200,564
1,38092800,572
1,38502400,567
1,38912000,573
1,39321600,558
1,39731200,567
1,40140800,559
1,40550400,569
1,40960000,571
1,41369600,564
1,41779200,566
1,42188800,566
1,42598400,567
1,43008000,568
1,43417600,571
1,43827200,573
1,44236800,573
1,44646400,571
1,45056000,570
1,45465600,572
1,45875200,572
1,46284800,572
1,46694400,568
1,47104000,516
1,47513600,571
1,47923200,573
1,48332800,571
1,48742400,560
1,49152000,558
1,49561600,567
1,49971200,570
1,50380800,561
1,50790400,567
1,51200000,569
